unit_of_analysis,base_rate,relative_precision_target,events_required,units_required
worker-shift (8 h),9.199999999999999e-05,0.1,384.14588224970794,4175498.720105522
worker-shift (8 h),9.199999999999999e-05,0.25,61.46334115995328,668079.7952168835
worker-shift (12 h),0.000138,0.1,384.14588224970794,2783665.813403681
worker-shift (12 h),0.000138,0.25,61.46334115995328,445386.530144589
worker-year,0.022999999999999996,0.1,384.14588224970794,16701.994880422088
worker-year,0.022999999999999996,0.25,61.46334115995328,2672.319180867534
