predictor,true_beta,coverage_analytic,coverage_bootstrap,mean_width_analytic,mean_width_bootstrap,n_reps,monte_carlo_se_of_coverage
UnsafeActs,0.45,0.85,0.925,0.16822799219193002,0.22653706290032877,40,0.034460121880225555
OperationalStress,0.3,0.85,0.975,0.1687598352756623,0.23542447874623362,40,0.034460121880225555
SystemCondition,-0.25,0.775,0.95,0.1690667343582517,0.2352051508024151,40,0.034460121880225555
SafetyResponseCapability,-0.2,0.825,0.925,0.1696235835841024,0.24059865739889355,40,0.034460121880225555
