shift_hours,base_rate_per_shift,worker_shifts_per_event,sensitivity,specificity,ppv,alerts_per_true_event
8.0,9.199999999999999e-05,10869.565217391306,0.8,0.95,0.001469971439413608,680.2853260869571
8.0,9.199999999999999e-05,10869.565217391306,0.8,0.99,0.007306893498056122,136.85706521739144
8.0,9.199999999999999e-05,10869.565217391306,0.9,0.999,0.07647491290357133,13.076183574879241
8.0,9.199999999999999e-05,10869.565217391306,0.95,0.9999,0.46640496758648303,2.14405949656738
12.0,0.000138,7246.376811594203,0.8,0.95,0.0022034388815152617,453.836050724638
12.0,0.000138,7246.376811594203,0.8,0.99,0.010920939913067727,91.56721014492761
12.0,0.000138,7246.376811594203,0.9,0.999,0.1104921258791774,9.050418679549121
12.0,0.000138,7246.376811594203,0.95,0.9999,0.5673207660172102,1.7626712433256218
