training_sample,train_n,train_event_fraction,auc_test,mean_predicted_test,observed_rate_test,overprediction_ratio,calibration_slope,brier,ppv_at_top_5pct
none (as collected),100000,0.00506,0.7111410186640584,0.005072467168525333,0.00516,0.9830362729700259,1.2153243062621044,0.005112235924720816,0.0192
random undersampling of majority,1012,0.5,0.7074995153285527,0.4539726960372401,0.00516,87.97920465837987,1.1003929848085487,0.2303230535451824,0.0188
random oversampling of minority,198988,0.5,0.7109115789411347,0.45211672219018,0.00516,87.61951980429846,1.1866889085101802,0.22633685691128888,0.0198
SMOTE-style interpolation,198988,0.5,0.7107785085771262,0.44848980686326323,0.00516,86.91662923706652,1.1018095078496342,0.22593032595118248,0.0198
